Column3;Column4;Column5;Column6;Column7;Column8
 -1.457718888968423E+07; -1.952016130994943E+08;  4.065261854180545E+05;  2.420816929122000E+01;  1.480404782228894E+01; -7.617051513010455E-01
 -1.456992662962225E+07; -1.951971717566486E+08;  4.062976736006141E+05;  2.420689778275333E+01;  1.480490446792859E+01; -7.617069649412587E-01
 -1.456266475101814E+07; -1.951927301568227E+08;  4.060691612392068E+05;  2.420562623888973E+01;  1.480576102313164E+01; -7.617087774781721E-01
 -1.455540325388247E+07; -1.951882883000438E+08;  4.058406483342201E+05;  2.420435465962968E+01;  1.480661748789896E+01; -7.617105889083637E-01
 -1.454814213822588E+07; -1.951838461863390E+08;  4.056121348859668E+05;  2.420308304497255E+01;  1.480747386223053E+01; -7.617123992278989E-01
 -1.454088140405899E+07; -1.951794038157354E+08;  4.053836208947748E+05;  2.420181139504620E+01;  1.480833014627579E+01; -7.617142084898196E-01
 -1.453362105139241E+07; -1.951749611882602E+08;  4.051551063609868E+05;  2.420053970972229E+01;  1.480918633987809E+01; -7.617160166338932E-01
 -1.452636108023670E+07; -1.951705183039405E+08;  4.049265912849158E+05;  2.419926798901077E+01;  1.481004244305000E+01; -7.617178236608675E-01
 -1.451910149060255E+07; -1.951660751628034E+08;  4.046980756669044E+05;  2.419799623291979E+01;  1.481089845580284E+01; -7.617196295706394E-01
 -1.451184228250051E+07; -1.951616317648761E+08;  4.044695595072955E+05;  2.419672444145576E+01;  1.481175437814670E+01; -7.617214343623226E-01
 -1.450458345594120E+07; -1.951571881101856E+08;  4.042410428064018E+05;  2.419545261462354E+01;  1.481261021009043E+01; -7.617232380343069E-01
 -1.449732501093525E+07; -1.951527441987591E+08;  4.040125255645812E+05;  2.419418075242655E+01;  1.481346595164166E+01; -7.617250405843299E-01
 -1.449006694749326E+07; -1.951483000306236E+08;  4.037840077821612E+05;  2.419290885486696E+01;  1.481432160280684E+01; -7.617268420095389E-01
 -1.448280926562583E+07; -1.951438556058064E+08;  4.035554894594550E+05;  2.419163692194568E+01;  1.481517716359122E+01; -7.617286423065623E-01
 -1.447555196534368E+07; -1.951394109243345E+08;  4.033269705968797E+05;  2.419036495366265E+01;  1.481603263399890E+01; -7.617304414715358E-01
 -1.446829504665720E+07; -1.951349659862351E+08;  4.030984511947185E+05;  2.418909295001684E+01;  1.481688801403287E+01; -7.617322395002102E-01
 -1.446103850957718E+07; -1.951305207915351E+08;  4.028699312533140E+05;  2.418782091100640E+01;  1.481774330369496E+01; -7.617340363879697E-01
 -1.445378235411412E+07; -1.951260753402619E+08;  4.026414107729942E+05;  2.418654883662881E+01;  1.481859850298593E+01; -7.617358321298973E-01
 -1.444652658027869E+07; -1.951216296324424E+08;  4.024128897541463E+05;  2.418527672688090E+01;  1.481945361190547E+01; -7.617376267208211E-01
 -1.443927118808153E+07; -1.951171836681038E+08;  4.021843681970686E+05;  2.418400458175907E+01;  1.482030863045221E+01; -7.617394201553793E-01
 -1.443201617753321E+07; -1.951127374472732E+08;  4.019558461021632E+05;  2.418273240125924E+01;  1.482116355862376E+01; -7.617412124280563E-01
 -1.442476154864433E+07; -1.951082909699777E+08;  4.017273234697431E+05;  2.418146018537711E+01;  1.482201839641672E+01; -7.617430035332138E-01
 -1.441750730142552E+07; -1.951038442362444E+08;  4.014988003001511E+05;  2.418018793410811E+01;  1.482287314382678E+01; -7.617447934651764E-01
 -1.441025343588740E+07; -1.950993972461004E+08;  4.012702765937895E+05;  2.417891564744760E+01;  1.482372780084861E+01; -7.617465822182261E-01
 -1.440299995204058E+07; -1.950949499995729E+08;  4.010417523509562E+05;  2.417764332539085E+01;  1.482458236747602E+01; -7.617483697866625E-01
 -1.439574684989572E+07; -1.950905024966889E+08;  4.008132275720239E+05;  2.417637096793320E+01;  1.482543684370192E+01; -7.617501561648652E-01
 -1.438849412946337E+07; -1.950860547374757E+08;  4.005847022573650E+05;  2.417509857507011E+01;  1.482629122951840E+01; -7.617519413472822E-01
 -1.438124179075420E+07; -1.950816067219603E+08;  4.003561764073372E+05;  2.417382614679720E+01;  1.482714552491670E+01; -7.617537253285018E-01
 -1.437398983377886E+07; -1.950771584501698E+08;  4.001276500222981E+05;  2.417255368311038E+01;  1.482799972988728E+01; -7.617555081032590E-01
 -1.436673825854787E+07; -1.950727099221314E+08;  3.998991231025755E+05;  2.417128118400586E+01;  1.482885384441988E+01; -7.617572896664919E-01
 -1.435948706507197E+07; -1.950682611378722E+08;  3.996705956486166E+05;  2.417000864948022E+01;  1.482970786850351E+01; -7.617590700133459E-01
 -1.435223625336173E+07; -1.950638120974193E+08;  3.994420676607043E+05;  2.416873607953050E+01;  1.483056180212650E+01; -7.617608491392032E-01
 -1.434498582342783E+07; -1.950593628008000E+08;  3.992135391392708E+05;  2.416746347415420E+01;  1.483141564527655E+01; -7.617626270397215E-01
 -1.433773577528077E+07; -1.950549132480412E+08;  3.989850100846291E+05;  2.416619083334939E+01;  1.483226939794075E+01; -7.617644037108438E-01
 -1.433048610893136E+07; -1.950504634391702E+08;  3.987564804971665E+05;  2.416491815711468E+01;  1.483312306010568E+01; -7.617661791488262E-01
 -1.432323682439005E+07; -1.950460133742142E+08;  3.985279503772408E+05;  2.416364544544932E+01;  1.483397663175733E+01; -7.617679533502422E-01
 -1.431598792166761E+07; -1.950415630532002E+08;  3.982994197252542E+05;  2.416237269835322E+01;  1.483483011288125E+01; -7.617697263120151E-01
 -1.430873940077460E+07; -1.950371124761555E+08;  3.980708885415941E+05;  2.416109991582698E+01;  1.483568350346257E+01; -7.617714980314183E-01
