*******************************************************************************
Ephemeris / WWW_USER Fri Apr 20 09:19:19 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Earth (399)                     {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Mar-10 12:00:00.0000 TDB
Stop  time      : A.D. 2018-Mar-20 12:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458188.225694444, A.D. 2018-Mar-10 17:25:00.0000, -1.459934431811649E+07, -1.952244415315683E+08,  4.069912423051447E+05,  2.610002257653883E+01,  1.475543967570242E+01, -1.693359898648167E+00,
2458188.229166667, A.D. 2018-Mar-10 17:30:00.0000, -1.459151410466534E+07, -1.952199934946289E+08,  4.064839352933615E+05,  2.609999090768602E+01,  1.489813526911044E+01, -1.687992963323201E+00,
2458188.232638889, A.D. 2018-Mar-10 17:35:00.0000, -1.458368516955185E+07, -1.952155026835386E+08,  4.059788617095798E+05,  2.609150053541916E+01,  1.504049953041775E+01, -1.678474744093343E+00,
2458188.236111111, A.D. 2018-Mar-10 17:40:00.0000, -1.457586004855129E+07, -1.952109692887255E+08,  4.054772621995807E+05,  2.607456919111855E+01,  1.518192569094752E+01, -1.664839537590399E+00,
2458188.239583333, A.D. 2018-Mar-10 17:45:00.0000, -1.456804126717243E+07, -1.952063936824763E+08,  4.049803646915257E+05,  2.604924759373017E+01,  1.532180844113735E+01, -1.647137822766137E+00,
2458188.243055556, A.D. 2018-Mar-10 17:50:00.0000, -1.456023133076206E+07, -1.952017764182141E+08,  4.044893795532584E+05,  2.601561941783081E+01,  1.545954583497455E+01, -1.625436164798190E+00,
2458188.246527778, A.D. 2018-Mar-10 17:55:00.0000, -1.455243271464825E+07, -1.951971182292011E+08,  4.040054947937727E+05,  2.597380105061100E+01,  1.559454121152426E+01, -1.599817014150850E+00,
2458188.250000000, A.D. 2018-Mar-10 18:00:00.0000, -1.454464785440025E+07, -1.951924200266647E+08,  4.035298713458478E+05,  2.592394103908661E+01,  1.572620511705988E+01, -1.570378352780037E+00,
2458188.253472222, A.D. 2018-Mar-10 18:05:00.0000, -1.453687913582411E+07, -1.951876828976295E+08,  4.030636382302046E+05,  2.586622446789321E+01,  1.585395619110453E+01, -1.537235821532511E+00,
2458188.256944444, A.D. 2018-Mar-10 18:10:00.0000, -1.452912888358116E+07, -1.951829081007151E+08,  4.026078871286809E+05,  2.580087046346076E+01,  1.597723014836830E+01, -1.500521092640464E+00,
2458188.260416667, A.D. 2018-Mar-10 18:15:00.0000, -1.452139935267103E+07, -1.951780970629862E+08,  4.021636683231294E+05,  2.572812633982467E+01,  1.609547022078505E+01, -1.460379411321547E+00,
2458188.263888889, A.D. 2018-Mar-10 18:20:00.0000, -1.451369271876952E+07, -1.951732513759872E+08,  4.017319861034900E+05,  2.564827338622962E+01,  1.620813687419797E+01, -1.416972025658798E+00,
2458188.267361111, A.D. 2018-Mar-10 18:25:00.0000, -1.450601106821895E+07, -1.951683727903431E+08,  4.013137940666527E+05,  2.556162569813972E+01,  1.631470940414895E+01, -1.370475544601366E+00,
2458188.270833333, A.D. 2018-Mar-10 18:30:00.0000, -1.449835638833147E+07, -1.951634632098280E+08,  4.009099905914366E+05,  2.546852923489594E+01,  1.641468786444503E+01, -1.321081393214829E+00,
